
----- TOKENS Y -----
Línea 1   Columna 1   | ESTRUCTURAS          | %estructuras
Línea 25  Columna 22  | NL                   | 
    
Línea 26  Columna 5   | RETORNAR             | retornar
Línea 26  Columna 14  | ID                   | resultado
Línea 27  Columna 1   | NL                   | 

Línea 27  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 28  Columna 1   | DEFINIR              | definir
Línea 28  Columna 9   | ID                   | restar
Línea 28  Columna 15  | PAREN_A              | (
Línea 28  Columna 16  | ENTERO               | entero
Línea 28  Columna 23  | ID                   | a
Línea 28  Columna 24  | COMA                 | ,
Línea 28  Columna 26  | ENTERO               | entero
Línea 28  Columna 33  | ID                   | b
Línea 28  Columna 34  | PAREN_C              | )
Línea 28  Columna 36  | MENOS                | -
Línea 28  Columna 37  | MAYOR_QUE            | >
Línea 28  Columna 39  | ENTERO               | entero
Línea 28  Columna 45  | DP                   | :
Línea 28  Columna 46  | NL                   | 
    
Línea 28  Columna 46  | INDENTACION          | <INDENTACION>
Línea 29  Columna 5   | RETORNAR             | retornar
Línea 29  Columna 14  | ID                   | a
Línea 29  Columna 16  | MENOS                | -
Línea 29  Columna 18  | ID                   | b
Línea 30  Columna 1   | NL                   | 

Línea 30  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 31  Columna 1   | DEFINIR              | definir
Línea 31  Columna 9   | ID                   | saludar
Línea 31  Columna 16  | PAREN_A              | (
Línea 31  Columna 17  | CADENA               | cadena
Línea 31  Columna 24  | ID                   | nombre
Línea 31  Columna 30  | PAREN_C              | )
Línea 31  Columna 31  | DP                   | :
Línea 31  Columna 32  | NL                   | 
    
Línea 31  Columna 32  | INDENTACION          | <INDENTACION>
Línea 32  Columna 5   | IMPRIMIR             | imprimir
Línea 32  Columna 13  | PAREN_A              | (
Línea 32  Columna 14  | STRING               | "Hola "
Línea 32  Columna 22  | MAS                  | +
Línea 32  Columna 24  | ID                   | nombre
Línea 32  Columna 30  | PAREN_C              | )
Línea 33  Columna 1   | NL                   | 

Línea 33  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 34  Columna 1   | DEFINIR              | definir
Línea 34  Columna 9   | ID                   | sinParametrosNiRetorno
Línea 34  Columna 31  | PAREN_A              | (
Línea 34  Columna 32  | PAREN_C              | )
Línea 34  Columna 33  | DP                   | :
Línea 34  Columna 34  | NL                   | 
    
Línea 34  Columna 34  | INDENTACION          | <INDENTACION>
Línea 35  Columna 5   | IMPRIMIR             | imprimir
Línea 35  Columna 13  | PAREN_A              | (
Línea 35  Columna 14  | STRING               | "Sin parametros ni retorno"
Línea 35  Columna 41  | PAREN_C              | )
Línea 36  Columna 1   | NL                   | 

Línea 36  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 37  Columna 1   | DEFINIR              | definir
Línea 37  Columna 9   | ID                   | procesarArreglo
Línea 37  Columna 24  | PAREN_A              | (
Línea 37  Columna 25  | CA                   | [
Línea 37  Columna 26  | CC                   | ]
Línea 37  Columna 28  | ENTERO               | entero
Línea 37  Columna 35  | ID                   | numeros
Línea 37  Columna 42  | COMA                 | ,
Línea 37  Columna 44  | ENTERO               | entero
Línea 37  Columna 51  | ID                   | tam
Línea 37  Columna 54  | PAREN_C              | )
Línea 37  Columna 56  | MENOS                | -
Línea 37  Columna 57  | MAYOR_QUE            | >
Línea 37  Columna 59  | ENTERO               | entero
Línea 37  Columna 65  | DP                   | :
Línea 37  Columna 66  | NL                   | 
    
Línea 37  Columna 66  | INDENTACION          | <INDENTACION>
Línea 38  Columna 5   | ENTERO               | entero
Línea 38  Columna 12  | ID                   | suma
Línea 38  Columna 17  | ASIG                 | =
Línea 38  Columna 19  | NUMERO_ENTERO        | 0
Línea 38  Columna 20  | NL                   | 
    
Línea 39  Columna 5   | PARA                 | para
Línea 39  Columna 9   | PAREN_A              | (
Línea 39  Columna 10  | ENTERO               | entero
Línea 39  Columna 17  | ID                   | i
Línea 39  Columna 19  | ASIG                 | =
Línea 39  Columna 21  | NUMERO_ENTERO        | 0
Línea 39  Columna 22  | PC                   | ;
Línea 39  Columna 24  | ID                   | i
Línea 39  Columna 26  | MENOR_QUE            | <
Línea 39  Columna 28  | ID                   | tam
Línea 39  Columna 31  | PC                   | ;
Línea 39  Columna 33  | ID                   | i
Línea 39  Columna 34  | INCREMENTO           | ++
Línea 39  Columna 36  | PAREN_C              | )
Línea 39  Columna 37  | DP                   | :
Línea 39  Columna 38  | NL                   | 
        
Línea 39  Columna 38  | INDENTACION          | <INDENTACION>
Línea 40  Columna 9   | ID                   | suma
Línea 40  Columna 14  | ASIG                 | =
Línea 40  Columna 16  | ID                   | suma
Línea 40  Columna 21  | MAS                  | +
Línea 40  Columna 23  | ID                   | numeros
Línea 40  Columna 30  | CA                   | [
Línea 40  Columna 31  | ID                   | i
Línea 40  Columna 32  | CC                   | ]
Línea 40  Columna 33  | NL                   | 
    
Línea 40  Columna 33  | DESINDENTACION       | <DESINDENTACION>
Línea 41  Columna 5   | RETORNAR             | retornar
Línea 41  Columna 14  | ID                   | suma
Línea 42  Columna 1   | NL                   | 

Línea 42  Columna 1   | DESINDENTACION       | <DESINDENTACION>
Línea 43  Columna 1   | DEFINIR              | definir
Línea 43  Columna 9   | ID                   | procesarPersona
Línea 43  Columna 24  | PAREN_A              | (
Línea 43  Columna 25  | LLA                  | {
Línea 43  Columna 26  | LLC                  | }
Línea 43  Columna 28  | ID                   | Persona
Línea 43  Columna 36  | ID                   | p
Línea 43  Columna 37  | PAREN_C              | )
Línea 43  Columna 39  | MENOS                | -
Línea 43  Columna 40  | MAYOR_QUE            | >
Línea 43  Columna 42  | CADENA               | cadena
Línea 43  Columna 48  | DP                   | :
Línea 43  Columna 49  | NL                   | 
    
Línea 43  Columna 49  | INDENTACION          | <INDENTACION>
Línea 44  Columna 5   | RETORNAR             | retornar
Línea 44  Columna 14  | ID                   | p
